PG.ProteinGroups;PG.Genes;[1] MEP_mBM_500c_40.raw.PG.Quantity;[2] MEP_mBM_500c_41.raw.PG.Quantity;[3] MEP_mBM_500c_42.raw.PG.Quantity;[4] MEP_mBM_500c_43.raw.PG.Quantity
O88456;Capns1;2006,25732421875;NaN;NaN;NaN
O88487;Dync1i2;4791,40234375;527,181884765625;2187,442138671875;1870,61181640625
O88543;Cops3;NaN;3144,44775390625;4118,82373046875;5207,0791015625
O88544;Cops4;NaN;NaN;3631,497314453125;4471,9560546875
"O88569;O88569-2;O88569-3";Hnrnpa2b1;120442,84375;295943,21875;208757,953125;234411,625
"O88587;O88587-2";Comt;NaN;2,13667631149292;93,77424621582031;289,5167236328125
"O88623;O88623-2;O88623-3;O88623-4";Usp2;976,6776123046875;NaN;NaN;NaN
O88665;Brd7;NaN;989,5755615234375;1323,8359375;681,8961181640625
O88685;Psmc3;38764,63671875;23448,49609375;5950,8837890625;8615,498046875
"O88712;O88712-2;O88712-3";Ctbp1;1769,59619140625;5211,58056640625;4844,9208984375;6031,43798828125
"O88738;O88738-2;O88738-3";Birc6;NaN;NaN;NaN;369,3538818359375
O88746;Tom1;15666,66796875;NaN;NaN;NaN
O88783;F5;80279,6328125;14751,1884765625;4199,9921875;1784,7960205078125
O88796;Rpp30;NaN;1889,1544189453125;729,0953369140625;NaN
O88844;Idh1;66968,4453125;26079,556640625;13504,2470703125;10261,9189453125
O88856;Tpst2;1081,4967041015625;NaN;623,8101806640625;NaN
O88947;F10;NaN;NaN;NaN;5176,486328125
O88952;Lin7c;4650,30078125;12505,7138671875;1519,617431640625;NaN
O88958;Gnpda1;7080,54150390625;3929,7470703125;4624,09423828125;4856,3583984375
O88967;Yme1l1;689,4246826171875;2038,6251220703125;2427,89892578125;2106,419921875
O88990;Actn3;NaN;7471,77978515625;115529,359375;4324,67138671875
O89001;Cpd;8677,4169921875;10305,9208984375;NaN;NaN
O89023;Tpp1;24533,39453125;2519,14990234375;715,4530029296875;729,0232543945312
O89029;Matn4;10139,7236328125;NaN;NaN;983,8619384765625
O89053;Coro1a;20232,291015625;89456,515625;45463,421875;27301,7421875
