PG.ProteinGroups,PG.Genes,[1] MEP_mBM_500c_40.raw.PG.Quantity,[2] MEP_mBM_500c_41.raw.PG.Quantity,[3] MEP_mBM_500c_42.raw.PG.Quantity,[4] MEP_mBM_500c_43.raw.PG.Quantity
P00375,Dhfr,NaN,NaN,"910,476,806,640,625","1,412,858,154,296,870"
P00405,Mtco2,NaN,"12,817,958,984,375","121,834,453,125","82,838,984,375"
P00493,Hprt1,"3,856,779,052,734,370","255,490,546,875","17,557,658,203,125","2,933,505,078,125"
P00687,Amy1,"5,628,359,765,625","132,697,255,859,375","8,774,777,221,679,680",NaN
P00920,Ca2,"14,608,294,921,875","640,126,875","5,283,035,625","8,023,304,375"
P01027,C3,"3,307,641,015,625","125,945,224,609,375","1,260,054,296,875","386,811,328,125"
P01629,,"122,411,435,546,875",NaN,NaN,NaN
P01631,,"97,986,734,375","3,314,474,609,375","7,931,521,606,445,310","793,454,818,725,586"
P01632;P01634;P01657,Igkv7-33;;,"10,397,896,484,375","986,297,119,140,625","2,397,031,005,859,370","27,212,978,515,625"
P01723;P01726;P01727;P01728;P01729,,"683,944,970,703,125",NaN,NaN,NaN
P01741,,"7,141,505,126,953,120","22,457,952,880,859,300",NaN,NaN
P01786;P01787;P01788;P01789;P01790;P01791;P01792;P01793;P01794,,"41,765,908,203,125","46,090,859,375","2,736,289,306,640,620","5,636,602,783,203,120"
P01795,,"77,749,619,140,625",NaN,NaN,NaN
P01803,,"473,070,263,671,875",NaN,NaN,NaN
P01831,Thy1,NaN,"25,415,888,671,875","6,010,626,220,703,120",NaN
P01837,,NaN,"5,505,233,154,296,870","1,085,018,310,546,870",NaN
P01868;P01869,Ighg1,NaN,NaN,"23,817,099,609,375",NaN
P01872;P01872-2,Ighm,NaN,"7,373,253,784,179,680","12,318,741,455,078,100","13,028,701,171,875"
P01899,H2-D1,NaN,"370066,75","267821,5","3,051,331,875"
P01902,H2-K1,"610,894,921,875","2,602,916,796,875","2,428,285,888,671,870","2,357,910,888,671,870"
P01942,Hba,"172,579,859,375","10,344,175,625","10,260,623,125","1,024,342,875"
P02088,Hbb-b1,"131,137,255,859,375","1,671,977,625","2114362,25","1,816,265,375"
P02301;P68433;P84228;P84244,H3f3c;Hist1h3a;Hist1h3b;H3f3a,"1,143,963,125","142,427,060,546,875","102,618,564,453,125","122,438,369,140,625"
P02463,Col4a1,"3,696,792,578,125",NaN,"3,000,285,339,355,460",NaN
P02535;P02535-2;P02535-3,Krt10,9121199,9680860,19124776,"398755,25"
P03921,Mtnd5,NaN,NaN,NaN,"748,596,435,546,875"
P03930,Mtatp8,NaN,"85,463,859,375",89847,"117,514,578,125"
P03958,Ada,"16,219,752,197,265,600","18,636,785,888,671,800","842,830,810,546,875","8,360,048,217,773,430"
P04104,Krt1,"1514940,5","41,626,715,625","1109094,5","136,006,943,359,375"
P04247,Mb,NaN,NaN,"54,849,875","3,198,368,896,484,370"
P04370;P04370-10;P04370-11;P04370-13;P04370-14;P04370-4;P04370-5;P04370-6;P04370-7;P04370-8;P04370-9,Mbp,"11,632,158,203,125","3,307,890,625","4,191,591,796,875","7,610,811,767,578,120"
P04441;P04441-2,Cd74,NaN,"12,206,719,970,703,100","11,408,394,775,390,600","7,411,576,080,322,260"
P04443;P04444,Hbb-bh0;Hbb-bh1,NaN,"4,257,022,399,902,340","3,968,160,705,566,400",NaN
P04627;P28028;P28028-2;Q99N57;Q99N57-2,Araf;Braf;Braf;Raf1;Raf1,"929,901,123,046,875",NaN,NaN,NaN
P04919;P04919-2,Slc4a1,NaN,"1,694,969,921,875","100,899,203,125","6,535,029,296,875"
P05063,Aldoc,"85,531,669,921,875","2,730,376,708,984,370",NaN,NaN
P05064,Aldoa,"542909,75","1,278,540,546,875","287,490,125","753,105,234,375"
P05201,Got1,"37,518,875","782,021,923,828,125","92,157,490,234,375","57,170,732,421,875"
P05202,Got2,"1,493,628,125","29,790,205,078,125","34,944,859,375","323,802,421,875"
P05213,Tuba1b,"43,695,328,125","38,161,609,375","33,218,603,125","46,598,896,875"
P05480,Src,"876,721,923,828,125",NaN,NaN,NaN
P05555;P05555-2,Itgam,"1,656,718,994,140,620","20,566,416,015,625","12,465,056,640,625","610,067,822,265,625"
P05784,Krt18,"30,175,107,421,875","23,959,912,109,375",NaN,NaN
P05977,Myl1,"129,327,158,203,125","530,423,779,296,875","444101,75","132,640,087,890,625"
P05977-2,Myl1,NaN,"6,690,821,533,203,120","3,777,323,828,125","8,807,708,740,234,370"
P06151,Ldha,"2622122,75","5,438,743,359,375","6,543,817,578,125","8,562,265,625"
P06728,Apoa4,NaN,NaN,"133,600,615,234,375",NaN
P06745,Gpi,"129,648,203,125","3,936,057,421,875","40,939,953,125","33,521,640,625"
P06800;P06800-2;P06800-3,Ptprc,NaN,"8,836,041,015,625","445,280,615,234,375","288,372,900,390,625"
P06801,Me1,"11282,5","2,340,711,669,921,870","225,613,818,359,375","63,284,711,837,768,500"
P07214,Sparc,"273,699,951,171,875","6,983,200,073,242,180","1,928,842,315,673,820","6,986,900,634,765,620"
P07310,Ckm,"14,127,232,421,875","3,749,729,736,328,120","453,360,390,625","477,254,345,703,125"
P07356,Anxa2,"560487,75","8,065,703,125","11,825,434,375","2,811,607,421,875"
P07607,Tyms,NaN,"441,638,330,078,125","515,744,677,734,375","6,639,029,296,875"
P07724,Alb,"31,918,935,546,875","124,155,890,625","16,464,921,875","35,573,390,625"
P07742,Rrm1,"42,374,786,376,953,100","2,680,814,453,125","2,523,844,921,875","3,635,364,453,125"
P07744,Krt4,"682,655,625","282,954,375","3,509,302,978,515,620",NaN
P07758;Q00896,Serpina1a;Serpina1c,NaN,"1,639,406,982,421,870","2,021,900,390,625","107,909,765,625"
P07759,Serpina3k,NaN,"18,449,627,685,546,800","85,316,689,453,125","5,837,551,879,882,810"
P07901,Hsp90aa1,"1,201,622,578,125","233,149,390,625","197,189,984,375","37,426,090,625"
P08003,Pdia4,"22,561,521,484,375","160,421,376,953,125","1,374,707,421,875","17,432,029,296,875"
P08030,Aprt,"104,192,119,140,625","116,346,845,703,125","8,882,240,234,375","122,229,970,703,125"
P08032,Spta1,NaN,"139,937,041,015,625","970,853,359,375","96,087,705,078,125"
P08071,Ltf,"134,188,734,375","146,019,984,375","8,173,953,125","5,180,925,390,625"
P08113,Hsp90b1,"4,775,505,078,125","49,095,078,125","4,395,552,734,375","6,362,409,765,625"
P08121,Col3a1,NaN,"21,614,240,234,375",NaN,NaN
P08226,Apoe,NaN,NaN,"2,698,550,537,109,370","1,229,760,009,765,620"
P08228,Sod1,"9,898,131,103,515,620","11,776,528,125","6,006,138,671,875","84,262,078,125"
P08249,Mdh2,"1,162,716,015,625","1,142,086,953,125","12,873,553,125","1,510,476,875"
P08551,Nefl,NaN,NaN,NaN,"47,740,008,544,921,800"
P08556,Nras,"1,342,219,921,875","243,855,419,921,875","13,314,390,869,140,600","1,816,055,419,921,870"
P08730,Krt13,"479,469,625","903945,75","150,815,078,125","547,179,140,625"
P08752,Gnai2,"4,694,353,515,625","12,482,228,515,625","16,576,173,828,125","5,940,720,703,125"
P09041,Pgk2,"2,709,039,306,640,620",NaN,NaN,NaN
P09055,Itgb1,"3,946,517,333,984,370","1,150,764,892,578,120","12,273,212,890,625","1,660,048,583,984,370"
P09103,P4hb,"22,779,403,125","86,323,546,875","605,916,953,125","74,303,328,125"
P09242,Alpl,"14,209,509,765,625","3,930,316,162,109,370","3,828,711,181,640,620","42,704,384,765,625"
P09405,Ncl,"1,495,993,359,375","173,229,796,875","160,743,453,125","3,115,560,625"
P09411,Pgk1,"50,490,646,875","162,041,046,875","94,261,234,375","5,881,274,609,375"
P09528,Fth1,"89,856,787,109,375","828,371,328,125","30,305,501,953,125","221,596,171,875"
P09542,Myl3,"535,225,390,625",NaN,"18,355,462,646,484,300",NaN
P09671,Sod2,"31,139,521,484,375",NaN,"316,547,509,765,625","2,959,212,646,484,370"
P0C027;P0C028;Q8R2U6,Nudt10;Nudt11;Nudt4,NaN,"2,113,547,821,044,920","33,246,734,619,140,600",NaN
P0C0A3,Chmp6,"513,638,671,875",NaN,"3,264,616,394,042,960",NaN
P0C0S6;Q3THW5,H2afz;H2afv,"12,324,458,984,375","1,217,108,359,375","798,142,734,375","521,402,890,625"
P0C871,Pla2g4b,"328,740,087,890,625",NaN,NaN,NaN
P0C872,Jmjd7,"419,223,046,875",NaN,NaN,NaN
P0CG49;P0CG50;P62983;P62984,Ubb;Ubc;Rps27a;Uba52,"989,197,734,375","2,200,315,625","190,966,296,875","176,052,375"
P0DP26;P0DP27;P0DP28,Calm1;Calm2;Calm3,"16,972,546,875","462,016,953,125","296,106,953,125","3,163,952,734,375"
P10107,Anxa1,"1661568,25","13,941,671,875","842,639,921,875","62,586,546,875"
P10126,Eef1a1,"52,076,715,625","9,407,165,625","7,849,465,625","1,112,031,875"
P10287,Cdh3,NaN,"490,014,296,875","8,862,376,953,125","20,369,971,923,828,100"
P10404;P11370,;Fv4,NaN,"8,031,657,104,492,180","10,065,014,038,085,900","9,948,282,470,703,120"
P10493,Nid1,NaN,NaN,"590,160,400,390,625",NaN
P10518,Alad,"1,647,200,390,625","1,033,584,453,125","761,941,328,125","81710,25"
P10605,Ctsb,NaN,"377,992,265,625","27,935,203,125","17,816,421,875"
P10639,Txn,"6,347,473,828,125",149379,"97,861,078,125","11,095,559,375"
P10649,Gstm1,NaN,"162,786,103,515,625","107,263,779,296,875","6,006,599,609,375"
P10711,Tcea1,NaN,"24,881,611,328,125","3,543,595,458,984,370","59,015,263,671,875"
P10852;P10852-2,Slc3a2,NaN,"109,599,404,296,875","8,697,462,890,625","763,639,794,921,875"
P10853;P10854;Q64475;Q64478;Q64525;Q6ZWY9;Q8CGP1;Q8CGP2;Q8CGP2-2,Hist1h2bf;Hist1h2bm;Hist1h2bb;Hist1h2bh;Hist2h2bb;Hist1h2bc;Hist1h2bk;Hist1h2bp;Hist1h2bp,"16,323,876,953,125","912,576,953,125","125,893,171,875","126,886,359,375"
P10922,H1f0,"3,486,618,896,484,370","134,274,873,046,875","4,401,918,359,375","4,783,111,328,125"
P10923,Spp1,NaN,"5,211,681,640,625","22,116,484,375","20,330,677,734,375"
P11031,Sub1,"1,436,383,203,125","4,769,171,484,375","369,426,015,625","4,082,809,375"
P11087,Col1a1,"2,280,246,875","297480,75","132,138,296,875","739,661,625"
P11103,Parp1,NaN,"163,796,328,125","159,106,376,953,125","25,338,173,828,125"
P11152,Lpl,"7,122,107,421,875",NaN,"29,946,258,544,921,800",NaN
P11157,Rrm2,NaN,"6,421,373,046,875","102,139,404,296,875","13,405,328,125"
P11247,Mpo,"130,269,677,734,375","2,134,845,625","15,481,359,375","108,916,984,375"
P11276,Fn1,"2,068,871,337,890,620","309,091,064,453,125","22,131,390,625","23,231,419,921,875"
P11352,Gpx1,"19,321,717,834,472,600","389,156,015,625","2,557,547,265,625","2,351,683,203,125"
P11438,Lamp1,"3,603,443,603,515,620",NaN,"229,072,412,109,375",NaN
P11440,Cdk1,"2,500,355,224,609,370","113,331,669,921,875","10,247,650,390,625","154,650,546,875"
P11499,Hsp90ab1,"134,967,515,625","41,392,821,875","3,900,530,625","608437,75"
P11672,Lcn2,NaN,"796,138,134,765,625","485,390,869,140,625","14,660,751,953,125"
P11679,Krt8,"2,488,353,125","5,093,215,234,375","341055,25",NaN
P11688,Itga5,NaN,NaN,"4,455,331,115,722,650","10,394,388,427,734,300"
P11835,Itgb2,"52,678,173,828,125","18,641,642,578,125","119,310,078,125","575,138,330,078,125"
P11930,Nudt19,"3,782,472,839,355,460",NaN,"6,008,157,348,632,810",NaN
P11983,Tcp1,"1,263,076,953,125","3,494,695,703,125","35,171,265,625","5,014,798,046,875"
